HomeNo|Channel|Starttime|Activity|EndTime|Duration
1234|603|20200101070000|PlayBack|20200101175959|39599
1234|101|20200101180000|Live|20200101182959|1799
1234|102|20200101183000|Live|20200101202959|7199
1234|601|20200101203000|PlayBack|20200101235959|12599
45678|621|20200101060000|PlayBack|20200101185959|46799
45678|103|20200101190000|PlayBack|20200101192959|1799
45678|104|20200101193000|Live|20200101205959|5399
45678|104|20200101210000|PlayBack|20200101235959|10799
777|602|20200101200000|Live|20200101235959|14399
900|621|20200102060000|PlayBack|20200102235959|64799
